fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note,punteggio
PagineGialle,Ristoranti/Pizzerie,Varese,Mizu Fusion,"Via Ponti Ettore, 126- 21100 Varese (VA)","0332 1896742, 339 6869746",https://www.mizusushi.it/mizu-varese-ristorante-giapponese-alla-carta-e-ristorante-di-cucina-orientale/,"Ristorante giapponese fusion a Varese con sushi, cucina cinese, corsi di cucina e catering. Dispone di ampio parcheggio gratuito, sale per eventi. Cucina professionale con refrigeration per pesce crudo. Consumi medio-alti.",Offre catering e corsi: possibile proporre soluzioni per efficienza refrigeration e cottura.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Volo a Vela,"Lungo Lago, 45- 21100 Varese (VA)","0332 310170, 338 3480080",https://www.ristorantevoloavela.it/,"Ristorante con pizzeria sul Lago di Varese, 150 coperti interni + 100 terrazza, specializzato in cerimonie e banchetti. Forno a legna, cucina mediterranea. Climatizzazione estesa, consumi energetici alti.",Location eventi con 250 copetti e forno a legna: forte candidato per audit energetico su climatizzazione e cottura.,8
PagineGialle,Ristoranti/Pizzerie,Varese,Haru Japan Fusion,"Via Cavour Camillo Benso Conte, 22- 21100 Varese (VA)","0332 281492, 333 7413228",https://haru-fusion-restaurant-varese.eatbu.com/?lang=it,"Ristorante fusion giapponese, cinese, thailandese e vietnamita in centro Varese. Climatizzato, Wi-Fi, accessibile. Cucina professionale con refrigeration. Consumi energetici medi.",Ristorante centrale con offerta varia: proporre audit su efficienza energetica cucina.,6
PagineGialle,Ristoranti/Pizzerie,Varese,"Vicolo San Michele, 2- 21100 Varese (VA)","Piazza della Liberta', 6- 21100 Varese (VA)",,,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Falò Cafè,"Piazza Motta, 9- 21100 Varese (VA)",0332 237992,,Sito web non disponibile per Falò Cafè. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Gastronomia del Corso,"Corso Matteotti Giacomo, 68- 21100 Varese (VA)",0332 285330,https://www.instagram.com/gastronomiadelcorsovarese,Gastronomia a Varese con presenza solo su Instagram. Dati insufficienti per valutare attrezzature e consumi energetici.,Solo profilo Instagram senza sito: difficile valutare. Richiedere contatto diretto per informazioni.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Haveli,"Piazza Battistero, 4- 21100 Varese (VA)",0332 974734,http://order.ristorantehaveli.com/,"Ristorante indiano a Varese con menu online completo (tandoori, curry, biryani). Dispone di forno tandoor, cucina professionale con refrigeration. Consumi energetici medi.",Cucina etnica con forno tandoor: proporre audit su efficienza cottura e refrigeration.,6
PagineGialle,Ristoranti/Pizzerie,Varese,I Love Poke C/O Le Corti,"Piazza della Repubblica, 25- 21100 Varese (VA)",375 6109740,https://ilovepoke.it/,"Catena di poke bowl con sede a Milano, Torino, Bologna, Bergamo. Concept fast-casual con ingredienti freschi. Presumibilmente presente in centro commerciale Le Corti a Varese. Consumi medio-bassi per format.","Catena nazionale in centro commerciale: decisioni accentrate, difficile intercettare referente locale.",5
PagineGialle,Ristoranti/Pizzerie,Varese,Iper La Grande I - Varese,Viale Belforte 315 - 21100 Varese (VA),0332 345611,http://www.iper.it/varese,"Ipermercato con reparto ristorazione (Rista'), pizzeria, ottica, parafarmacia e centro commerciale Belforte a Varese. Grandi superfici, alti consumi per refrigeration, climatizzazione e illuminazione.",Grande superficie con alti consumi ma decisioni accentrate a livello corporate: difficile vendita diretta.,4
PagineGialle,Ristoranti/Pizzerie,Varese,La Piadineria,Piazzale Trieste 6 - 21100 Varese (VA),0332 1430695,https://www.lapiadineria.com/,[HTTP 403],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Ristò - Varese,Centro Commerciale 315 Viale Belforte - 21100 Varese (VA),0332 345790,https://www.risto.iper.it/,[HTTP 403],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Rom'Antica Varese,Piazza Monte Grappa 4 - 21100 Varese (VA),0383 813531,https://pizzerie.romanticapizza.it/romantica-varese-799c8fe39779,"Pizzeria al taglio in centro Varese (Piazza Monte Grappa), specializzata in pizza alla romana e suppli'. Orario continuato 9-22. Attrezzature per cottura pizza in teglia e refrigeration. Consumi medio-bassi.",Pizzeria al taglio con forno elettrico: proporre verifica efficienza forno e refrigeration.,5
PagineGialle,Ristoranti/Pizzerie,Varese,Rossopomodoro Malpensa Aeroporto,Terminal 1 Malpensa - Aeroporto - 21010 Varese (VA),,https://ristoranti.rossopomodoro.it/varese-4f5d36ed2867?utm_source=googleBusinessProfile&utm_medium=Yext&utm_campaign=1M9,"Rossopomodoro presso Terminal 1 Malpensa, catena napoletana di pizzerie. Location aeroportuale con flusso continuo 11-22. Cucina professionale con forno, refrigeration. Consumi medi.",Catena in aeroporto: decisioni centralizzate a livello corporate. Poco targettizzabile.,4
PagineGialle,Ristoranti/Pizzerie,Varese,Dimsum Ye,"Viale Valganna, 39 - 21100 Varese (VA)",351 5774456,http://ristorantecinesedimsumye.it/,Ristorante asiatico specializzato in dim sum in centro Varese. Dati sito minimi. Presumibile cucina professionale con refrigeration e cottura al vapore. Consumi medi.,Sito con poche informazioni: necessario contatto diretto per valutare potenziale.,5
PagineGialle,Ristoranti/Pizzerie,Varese,El Crocante,"Via Rodari Gianni, 18 - 21100 Varese (VA)",328 7572594,https://www.facebook.com/Rest-El-Crocante-Varese-105848381190771,"Ristorante peruviano a Varese, presenza solo su Facebook. Dati insufficienti per valutare attrezzature e dimensioni.",Attivo solo su Facebook: difficile profilazione. Meglio contatto telefonico diretto.,4
PagineGialle,Ristoranti/Pizzerie,Varese,Numa Pizzeria Bar,"Viale Belforte, 165 - 21100 Varese (VA)",328 6259415,,Sito web non disponibile per Numa Pizzeria Bar. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Ossobuco,"Via Europa, 72 - 21100 Varese (VA)",0332 285645,https://ristoranteossobuco.it/,"[Ristorante Ossobuco] | Visita il Ristorante Ossobuco a Varese, dove tradizione e modernità si fondono in un menu esclusivo che celebra la ricca cucina lombarda. Nel cuore di Varese, a pochi passi dal centro, il nostro ristorante offre un'esperienza culinaria raffinata in un ambiente elegante e contemporaneo. Da noi, potrai gustare piatti iconici come Riso con l'Ossobuco di vitello, preparati con ingredienti di stagione e presentati con un tocco moderno. Non perderti le nostre delizie dolci e Vini Tipici lombardi. Con parcheggio interno riservato e un servizio attento ad ogni dettaglio, ti assicuriamo un'esperienza indimenticabile. Prenota ora per assaporare il meglio della gastronomia lombarda. | Ristorante Ossobuco Essenza tradizionale, anima contemporanea. Leggi il menu Precedente Successiva Ristorante Ossobuco Viale Europa, 72, 21100 Varese VA, Italy +39 0332285645 Lunedì 12:00-14:30 Martedì 12:00-14:30 19:30-22:30 Mercoledì 12:00-14:30 19:30-22:30 Giovedì 12:00-14:30 19:30-22:30 Venerdì 12:00-14:30 19:30-22:30 Sabato 12:00-14:30 19:30-22:30 Domenica 12:15-15:00 Lunedì 12:00-14:30 Martedì 12:00-14:30 19:30-22:30 Mercoledì 12:00-14:30 19:30-22:30 Giovedì 12:00-14:30 19:30-22:30 Venerdì 12:00-14:30 19:30-22:30 Sabato 12:00-14:30 19:30-22:30 Domenica 12:15-15:00 Giovedì (oggi) 12:00-14:30 19:30-22:30 Venerdì (domani) 12:00-14:30 19:30-22:30 Mostra settimana completa Visita il Ristorante Ossobuco a Varese, dove tradizione e modernità si fondono in un menu esclusivo che celebra la ricca cucina lombarda. Nel cuore di Varese, a pochi passi dal centro, il nostro ristorante offre un'esperienza culinaria raffinata in un ambiente elegante e contemporaneo. Da noi, potrai gustare piatti iconici come Riso con l'Ossobuco di vitello, preparati con ingredienti di stagione e presentati con un tocco moderno. Non perderti le nostre delizie dolci e Vini Tipici lombardi. Con parcheggio interno riservato e un servizio attento ad ogni dettaglio, ti assicuriamo un'esperienza indimenticabile. Prenota ora per assaporare il meglio della gastronomia lombarda. Leggi di più Le Nostre Proposte Menu Dicono di Noi... Racconta il Risotto con l'Ossobuco Il Ristorante Ossobuco prende vita tra le pagine de Il Posto Giusto®, che ne approva e ne racconta l’identità come autentico punto di riferimento per il Risotto con l’Ossobuco. In questo angolo di Varese, a pochi passi dal cuore pulsante della città, la cucina non è solo preparazione, ma un atto di profondo rispetto per la tradizione lombarda. Il ristorante si distingue per la rara capacità di fondere eleganza e autenticità, reinterpretando uno dei simboli più iconici della nostra cultura culinaria con un tocco contemporaneo e raffinato. Ogn",,5
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante da Amici,"Piazza Ventisei Maggio, 14 - 21100 Varese (VA)",351 4288250,,Sito web non disponibile per Ristorante da Amici. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante Pizzeria San Michele,"Via Giusti Giuseppe, 7 - 21100 Varese (VA)","0332 1951549, 346 2115378",,Sito web non disponibile per Ristorante Pizzeria San Michele. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,La Noce,Via per Oriano 2 Mercallo - 21100 Varese (VA),0331 968600,http://www.ristorantelanocemercallo.it/index.html,"Ristorante storico su collina di Mercallo (Lago di Comabbio) con parco giochi, specializzato in eventi e famiglie. Cucina tradizionale con pesce di lago e mare. Location con giardino e climatizzazione. Consumi medio-alti.",Location eventi con parco e climatizzazione: target valido per audit energetico completo.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Al Tondino,"Viale Dell' Iippodromo, 27 - 21100 Varese (VA)","347 7536874, 334 6148787",https://www.lebettolevarese.it/,[HTTP 410],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Ale&Chiara di Munda Lelio e C. S.a.s.,"Piazza Beccaria Cesare, 1 - 21100 Varese (VA)",0332 023050,http://www.centrogulliver.it/,Centro Gulliver - cooperativa sociale per dipendenze e salute mentale. Non e' un ristorante ma struttura socio-sanitaria. Consumi per climatizzazione e gestione residenziale.,Struttura socio-sanitaria fuori target. Non e' un'attivita' di ristorazione.,2
PagineGialle,Ristoranti/Pizzerie,Varese,Aria S.r.l.,"Via Carrobbio, 19 - 21100 Varese (VA)",0332 231183,https://ariapiu.com/,"ARIA+ e' un brand di abbigliamento professionale e DPI, non un ristorante. Produzione di monofili sintetici e abbigliamento. Consumi industriali potenzialmente alti ma fuori target M&M Energy.","Azienda di abbigliamento, non ristorazione. Fuori target.",1
PagineGialle,Ristoranti/Pizzerie,Varese,Associazione Varesina per Il Mielomeningocele,"Via Monte Rosa, 28 - 21100 Varese (VA)","0332 200017, 0332 240192, 0332 1854679",http://www.asst-settelaghi.it/area-distrettuale,[ERR: ConnectError],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Azienda Agricola I Mirtilli,"Via del Giglio, 51 - 21100 Varese (VA)",333 8003028,,Sito web non disponibile per Azienda Agricola I Mirtilli. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bar Pineta,"Via del Ceppo, 5 - 21100 Varese (VA)",351 1182770,,Sito web non disponibile per Bar Pineta. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bar Social,Via Francesco Caracciolo 37 - 21100 Varese (VA),0332 229452,http://www.barsocialvarese.it/,"Bar con cucina, edicola e servizi al cittadino a Varese. Offre eventi musicali, aperitivi e ristorazione leggera. Attrezzatura limitata a bar e cucina piccola. Consumi medio-bassi.",Bar polifunzionale con consumi limitati: valutare interesse per efficienza illuminazione e piccoli elettrodomestici.,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bel Sit S.r.l.,"Via Carrobbio, 13 - 21100 Varese (VA)",0332 744160,http://www.hotelbelsit.it/,[Hotel Ristorante BelSit Comerio – Nuovo sito in arrivo] | Hotel Ristorante BelSit Comerio – Nuovo sito in arrivo Nuovo sito in arrivo Stiamo lavorando alla nuova esperienza online dell’Hotel Ristorante BelSit di Comerio. e-mail: info@hotelbelsit.it tel: +39 0332-744160,,5
PagineGialle,Ristoranti/Pizzerie,Varese,Bianchi Bar,"Via San Gottardo, 29 - 21100 Varese (VA)",0332 1647441,https://instagram.com/bianchibar?igshid=1uwn438vkkvn4,Bar a Varese con presenza solo su Instagram. Dati insufficienti per valutare dimensioni e consumi.,Solo Instagram: difficile profilazione. Necessario contatto telefonico.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Birbante,"Piazza Beccaria Cesare, 1 - 21100 Varese (VA)",0332 776005,https://www.facebook.com/birbantevarese,"Bar/pub a Varese con aperitivi, pranzi, cene, eventi e diretta TV sport. Cucina espressa con menu lavoro a mezzogiorno. Vicino Brera Varese. Consumi medio-bassi.",Bar/pub con cucina espressa: consumi limitati ma puo' interessare ottimizzazione illuminazione e refrigeration.,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bistrot 110,"Via Crispi Francesco, 110 - 21100 Varese (VA)",0332 315396,,Sito web non disponibile per Bistrot 110. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bistrot della Piazza Varese,"Piazza Cacciatori delle Alpi, 1/A - 21100 Varese (VA)",0332 1693622,,Sito web non disponibile per Bistrot della Piazza Varese. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Bleve Roberto,"Via Molina Livio, 4 - 21100 Varese (VA)",0332 331411,,Sito web non disponibile per Bleve Roberto. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Break Bar Fusion Cafè,"Via Staurenghi, 38 - 21100 Varese (VA)",0332 280172,https://www.facebook.com/Break-Bar-Fusion-Caf%C3%A8-404602976240653/,Bar a Varese con presenza su Facebook. Dati minimi dal sito. Probabile locale piccolo con consumi ridotti.,Solo Facebook: difficile profilazione. Consumi presumibilmente bassi.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Cento46,"Via Daverio Francesco, 146 - 21100 Varese (VA)","0332 443022, 0332 443022",https://www.cento46.com/,Ristorante e pizzeria a Varese (Via Daverio) con cucina tradizionale e innovativa. Dispone di forno e cucina professionale. Consumi energetici medi.,Ristorante con doppia offerta (cucina+pizza): proporre audit su efficienza forno e refrigeration.,6
PagineGialle,Ristoranti/Pizzerie,Varese,C'Era Una Volta,"Via Sacromonte, 36 - 21100 Varese (VA)",0332 1571083,https://www.ceraunavoltaristova.it/,"Ristorante ai piedi del Sacromonte di Varese con due sale interne e giardino coperto. Cucina tradizionale con carne, pesce e pizze. Serate a tema. Consumi energetici medio-alti per climatizzazione e cucina.",Location con giardino coperto e doppia sala: target valido per audit energetico su climatizzazione e cottura.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Chicco e Spiga,"Via Uberti Giulio, 1 - 21100 Varese (VA)",393 3259851,https://www.chiccoespiga.it/,"Pizzeria artigianale a Varese con pizze classiche, gourmet e panini. Dati sito minimi. Attrezzatura per pizza (forno, impastatrice, refrigeration). Consumi medio-bassi.",Pizzeria artigianale di quartiere: proporre verifica efficienza forno.,5
PagineGialle,Ristoranti/Pizzerie,Varese,Croci S.r.l.,"Via Rossini G., 6 - 21100 Varese (VA)",0332 1810313,https://www.crocisrl.it/,[HTTP 202],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Cuba 1954,"Via del Cairo Francesco, 4 - 21100 Varese (VA)",392 9964996,,Sito web non disponibile per Cuba 1954. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Da Decimo,"Via Tagliamento, 39 - 21100 Varese (VA)",0332 811603,,Sito web non disponibile per Da Decimo. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Dima's Cafè Varese,Viale Padre Gian Battista Aguggiari 130 - 21100 Varese (VA),0332 237297,,Sito web non disponibile per Dima's Cafè Varese. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Dna,"Via Piemonte, 3 - 21100 Varese (VA)",346 3050483,https://m.facebook.com/dnabarvarese/?locale2=it_IT,Pub a Varese con presenza su Facebook. Dati sito minimi. Probabile locale medio con consumi ridotti.,Pub con dati insufficienti: necessario contatto diretto.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Fahion Food,Viale Luigi Borri 112 - 21100 Varese (VA),0332 261640,,Sito web non disponibile per Fahion Food. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Felicità Sushi,"Via Carcano Carlo, 1 - 21100 Varese (VA)","0332 1950906, 339 8079848",https://social.quandoo.com/en/groups/Felicit%C3%A0-Sushi-Restaurant,Ristorante sushi a Varese con pagina Quandoo. Dati sito minimi. Refrigeration per pesce crudo. Consumi medi.,Sushi con refrigeration necessaria: possibilita' di audit su efficienza catena del freddo.,5
PagineGialle,Ristoranti/Pizzerie,Varese,Fuddruckers,"Via Morosini Emilio, 12 - 21100 Varese (VA)",0332 1543023,https://www.fuddruckers.com/caguas,"Fuddruckers e' una catena di hamburger con sede a Caguas, Porto Rico. Dati sito irrilevanti per il mercato italiano. Presumibilmente un falso positivo nel dataset.","Catena a Porto Rico, non in Italia. Da scartare.",1
PagineGialle,Ristoranti/Pizzerie,Varese,Gale di Grotto Paolo & C. S.a.s.,"Via Molini Trotti, 7 - 21100 Varese (VA)",0332 481431,https://locandacadeisanti.com/,[HTTP 202],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Hakuna Matata Sporting Pub,"Via Cavallotti Felice, 4 - 21100 Varese (VA)",349 1652933,,Sito web non disponibile per Hakuna Matata Sporting Pub. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Il Baretto,Via Nicostrato Castellini 45 - 21100 Varese (VA),0332 311460,,Sito web non disponibile per Il Baretto. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Il Cantuccio,"Viale Borri Luigi, 15 - 21100 Varese (VA)",0332 263509,,Sito web non disponibile per Il Cantuccio. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Il Convivio del Sacro Monte,"Via Assunzione, 5 - 21100 Varese (VA)",375 6821683,https://ilconviviodelsacro.wixsite.com/il-convivio-del-sacr,"Panineria e gastronomia artigianale al Sacro Monte di Varese con panini gourmet, torte artigianali e menu stagionale. Locale piccolo, consumi ridotti.",Micro-attivita' stagionale in location turistica: consumi troppo bassi per intervento.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Il Mago - Pizza&Kebab,"Via Manin Daniele, 30 - 21100 Varese (VA)",342 0743975,,Sito web non disponibile per Il Mago - Pizza&Kebab. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Imperator Pizza Kebab,"Via Como, 26 - 21100 Varese (VA)","0332 1954205, 0332 973628",,Sito web non disponibile per Imperator Pizza Kebab. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Irma,"Via Belvedere, 17 - 21100 Varese (VA)","0332 229125, 328 2862863",http://www.osteriairma.it/,"Osteria a 1100m sul Campo dei Fiori (Varese), dal 2017. Cucina del territorio con ingredienti locali, tre menu delle terre alte. Locale immerso nella natura, consumi probabilmente ridotti per posizione montana.",Osteria di montagna con consumi ridotti: probabilmente non target ideale.,4
PagineGialle,Ristoranti/Pizzerie,Varese,Joyfood,"Via Speroni Giuseppe, 14 - 21100 Varese (VA)",0332 1691016,,Sito web non disponibile per Joyfood. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,K Kaiseki,"Viale Milano, 5 - 21100 Varese (VA)","379 2779999, 379 2779999",https://kkaiseki.it/k-kaiseki-varese/,"Ristorante sushi a Varese con menu unlimited, take away e saletta riservata. Dispone di ampia refrigeration per pesce crudo, forni e attrezzature professionali. Consumi medio-alti.",Sushi con menu unlimited e alto ricambio: buon target per efficienza refrigeration.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Kobe Sushi,"Viale Valganna, 50 - 21100 Varese (VA)",0332 1957812,https://www.kobesushivarese.it/,"Ristorante sushi fusion a Varese (viale Valganna) con All You Can Eat e asporto. Promozioni sconto asporto. Cucina professionale con refrigeration, forni. Consumi medio-alti.",AYCE con alto volume: target ideale per efficienza refrigeration e cottura.,7
PagineGialle,Ristoranti/Pizzerie,Varese,La Cucina di Altamura,"Via Giannone Pietro, 2 - 21100 Varese (VA)",0332 318886,https://lacucinadialtamura.it/,"Cucina pugliese a Varese (due sedi: Varese e Busto Arsizio). Concept innovativo: micro porzioni a peso, banco con specialita'. Birre e vini solo pugliesi. Aperto 7-23. Consumi medi con refrigeration e banco caldo.",Due sedi con orario esteso: potenziale per audit multi-sito su efficienza refrigeration.,7
PagineGialle,Ristoranti/Pizzerie,Varese,La Piazza Café snc,Piazza Cacciatori delle Alpi 1 - 21100 Varese (VA),0332 286700,,Sito web non disponibile per La Piazza Café snc. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante Pizzeria Marialia,Via Serenza - 22070 Capiago Intimiano (CO),"0332 1951549, 346 2115378",https://marialiacapiagointimiano.metro.rest/?lang=it,"Ristorante e pizzeria a Capiago Intimiano (Como) dal 1980. Ampia offerta: accessibile, aria condizionata, angolo bambini, take away, Wi-Fi. Cucina professionale con forno pizza. Consumi medio-alti.",Attivo dal 1980 con aria condizionata e servizi multipli: audit energetico consigliato.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Le Grotte di Valganna,"Via Valganna, 17 - 21056 Induno Olona (VA)","0332 200193, 0332 1880579",https://www.grottevalganna.it/,"Ristorante storico (dal 1953) immerso nel Parco del Campo dei Fiori (VA). Cucina tradizionale, pizzeria, bar, banchetti e cerimonie. Grotte naturali e cascata.","Ristorante con forno pizza, cucina professionale, celle frigorifere. Forte consumo energetico. Proporre audit.",7
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Villa Pio,"Via Alzaia, 22- 21019 Somma Lombardo (VA)",0331 256667,https://www.ristorantepio.it/,"[Home Page - ristorantepio] | Locale sulle sponde del Ticino, offre una cucina alla carta ricca di prodotti del territorio e un momento di relax immersi nel verde. | Home Page - ristorantepio",,5
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Ristorante Il Cervo - Malpensa,"Via De Pinedo, 1- 21019 Somma Lombardo (VA)","0331 230821, 0331 230274",https://www.hotelcervo.it/,"Hotel e ristorante a 1 km da Malpensa con navetta aeroporto. 52 camere, cucina casalinga, bar. Climatizzazione camere, refrigeration cucina, lavanderia. Consumi energetici alti per struttura alberghiera.",Hotel con ristorante e navetta: alti consumi per climatizzazione e lavanderia. Target valido.,8
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Trattoria del Ponte,"Corso Sempione, 99- 21013 Gallarate (VA)","0331 777292, 351 8404200",,Sito web non disponibile per Trattoria del Ponte. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Nel Cuore del Mondo,"Via Varallo Pombia, 89- 28053 Castelletto sopra Ticino (NO)",348 0386461,,Sito web non disponibile per Nel Cuore del Mondo. Contattare per verificare.,,4
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Boa Vida,"Via Monte Leone, 1- 21013 Gallarate (VA)",327 5754566,http://boavidachurrascaria.it/,"Churrascaria brasiliana a Somma Lombardo con oltre 10 tagli di carne, rodizio, caipirinha. Griglia professionale per carne, refrigeration estesa. Consumi energetici medio-alti per cottura carne e refrigeration.",Griglieria con alti consumi per cottura carne: ideale per audit su efficienza griglie e refrigeration.,7
PagineGialle,Ristoranti/Pizzerie,Somma Lombardo,Full Pub,"Via Leon Battista Alberti, 25- 21012 Cassano Magnago (VA)","377 5031404, 0331 289125",https://www.fullpub.it/,[ERR: ConnectError],,5
